idx,x0,y0,x1,y1,length,width,aspect_ratio,mean_response,area
0,773,36,803,52,25.50,4.12,6.18,0.4252,51
1,698,107,732,125,31.79,3.60,8.84,0.3451,59
2,557,343,582,364,24.70,3.19,7.75,0.3298,39
3,25,463,56,520,59.52,8.57,6.94,0.3209,134
4,123,191,152,221,31.60,4.82,6.55,0.2978,61
5,48,474,133,515,93.83,8.89,10.56,0.2817,159
6,700,0,771,45,83.09,4.96,16.74,0.2803,174
7,0,459,31,485,36.92,6.90,5.35,0.2789,85
8,345,273,367,296,21.56,6.09,3.54,0.2782,51
9,846,6,875,37,33.57,5.71,5.88,0.2748,58
10,288,501,338,629,139.31,36.13,3.86,0.2748,276
11,212,518,253,548,44.01,5.29,8.32,0.2729,71
12,162,396,236,409,75.91,3.59,21.16,0.2708,107
13,545,391,581,432,42.60,10.07,4.23,0.2689,164
14,366,221,410,245,37.05,11.03,3.36,0.2658,127
15,516,0,548,74,87.91,16.79,5.24,0.2626,208
16,683,30,703,63,28.81,7.13,4.04,0.2569,63
17,17,379,45,431,46.67,12.53,3.72,0.2562,155
18,542,356,564,385,24.87,8.08,3.08,0.2544,80
19,680,603,703,624,20.93,5.02,4.17,0.2489,51
20,545,21,557,60,34.18,3.34,10.22,0.2480,78
21,34,282,70,350,73.51,11.15,6.59,0.2467,163
22,515,381,555,417,48.81,8.39,5.82,0.2456,124
23,281,568,325,625,66.98,4.11,16.29,0.2454,128
24,300,480,362,620,156.17,46.50,3.36,0.2448,306
25,524,455,551,471,22.48,7.34,3.06,0.2446,51
26,774,425,810,464,45.35,4.32,10.50,0.2412,69
27,0,509,32,579,76.45,22.51,3.40,0.2372,284
28,223,497,260,512,32.86,2.59,12.71,0.2354,55
29,563,597,586,620,22.73,3.44,6.62,0.2340,41
30,181,305,242,346,65.24,17.26,3.78,0.2323,141
31,492,543,526,565,30.36,8.68,3.50,0.2322,89
32,898,550,951,573,49.37,11.95,4.13,0.2319,190
33,708,367,733,390,22.80,6.22,3.66,0.2290,60
34,681,404,701,517,118.91,6.27,18.95,0.2277,306
35,5,461,44,519,63.21,16.31,3.88,0.2272,193
36,417,262,459,290,39.03,7.23,5.40,0.2251,71
37,54,470,149,529,113.80,12.35,9.22,0.2249,171
38,941,12,960,54,40.19,13.29,3.02,0.2241,91
39,761,13,788,29,22.05,3.78,5.83,0.2230,47
40,813,490,928,604,151.06,31.93,4.73,0.2220,813
41,276,413,315,474,66.14,15.52,4.26,0.2203,187
42,300,430,357,446,53.14,4.84,10.99,0.2199,128
43,631,443,692,519,83.96,27.85,3.01,0.2194,334
44,349,216,482,284,131.37,30.62,4.29,0.2176,504
45,188,384,241,398,50.38,2.96,17.02,0.2175,89
46,58,343,278,440,274.05,89.41,3.07,0.2161,1327
47,203,518,243,547,41.56,5.99,6.94,0.2156,77
48,557,422,598,456,46.72,7.37,6.34,0.2149,112
49,115,383,140,405,22.12,5.37,4.12,0.2147,47
